Site,Acidity_CACO3,Algae_Cells,Alkalinity,Azinphos_methyl,Bicarbonate,Blue_Green_Algae_Total_cells,Calcium_Hardness,Carbon_Dioxide,Carbonate,Carbonate_hardness,Chlordane_a,Chlordane_g,Chloride,Chlorides_Total,Chlorophyll_b,Chlorothalonil,Chlorpyrifos,Chlorthal_Dimethyl,Conductivity,DDD,DDE,DDT,Diazinon,Dieldrin,Dissolved_solids,Fixed_solids,Fluoride,Iron_Total,Mercury_Total,Methoxychlor,Sulphate,TEMP,Total_Hardness,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TDS,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OXY_OXY,WQ_PHS_FRP,WQ_SIL_RSI,pH,
Tauwitchere, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,
North_Jacks_Pt,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
South_Policemans_Pt, , ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
South_Salt_Creek,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, , ,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Mark_Pt,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, , ,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Long_Point,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Noonameena, , ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, , ,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Bonneys, , ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, , ,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
McGrath_Flat_Nth, , ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Parnka_Pt, , ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Villa_de_Yumpa,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Stony_Well, , ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Salt_Creek_1p8km_west, , ,x, ,x, , , , , , , ,x, ,x, , , ,x, , , , , , ,x, , , , , ,x, ,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,
Salt_Creek_3p2km_west, , ,x, ,x, , , , , , , ,x, ,x, , , ,x, , , , , , ,x, , , , , ,x, ,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,
Murray_Mouth, ,x, , , ,x, , , , , , ,x, ,x, , , ,x, , , , , , , , , , , , , , ,x,x,x,x, ,x, ,x,x,x, , ,x,x, ,
Snipe_Point, , ,x, ,x, , , , , , , ,x, ,x, , , ,x, , , , , , ,x, , , , , ,x, ,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,
