Old Name, New Name,X,Y
1.8km West of Salt Creek,ALS_18km_West_of_Salt_Creek,375882,6000470
1.8km west of Salt Creek,ALS_18km_West_of_Salt_Creek,375882,6000470
1.8km west pf Salt Creek,ALS_18km_West_of_Salt_Creek,375882,6000470
3.2km South of Salt Creek (Land),ALS_32km_South_of_Salt_Creek,377570,5997290
3.2km south of Salt Creek (land),ALS_32km_South_of_Salt_Creek,377570,5997290
Bonneys,ALS_Bonneys,347969,6037304
DS Tauwitchere,ALS_DS_Tauwitchere,320218,6059692
Long Point,ALS_Long_Point,333756,6048260
Mark Point,ALS_Mark_Point,325762,6054914
McGrath Flat,ALS_McGrath_Flat,354600,6029390
McGrath Flat North,ALS_McGrath_Flat_North,354600,6029390
Morella Basin @ Gauge,ALS_Morella_Basin_at_Gauge,380179,6001380
Morella Basin @ Outlet Regulator,ALS_Morella_Basin_at_Outlet_Regulator,380179,6001380
Morella Creek @ Gauge,ALS_Morella_Creek_at_Gauge,380179,6001380
Morella Creek @ gauge,ALS_Morella_Creek_at_Gauge,380179,6001380
Morella Creek @ gauget,ALS_Morella_Creek_at_Gauge,380179,6001380
Murray Mouth,ALS_Murray_Mouth,308015,6063155
Noonameena,ALS_Noonameena,342849,6041481
North Jacks Point,ALS_North_Jacks_Point,369342,6010972
Parnka Point,ALS_Parnka_Point,355237,6025730
Salt Ck Outlet,ALS_Salt_Creek_Outlet,378834.7,6001351.5
Salt Creek Outlet,ALS_Salt_Creek_Outlet,378834.7,6001351.5
Seagull Island,ALS_Seagull_Island,372453,6005680
Snipe Point,ALS_Snipe_Point,374406,6002900
South Policeman Point,ALS_South_Policeman_Point,372453,6005680
South Policeman Point/ Seagull Island,ALS_South_Policeman_Point,372453,6005680
South Policeman Point/Seagull Island,ALS_South_Policeman_Point,372453,6005680
South Policeman Point / Seagull Island,ALS_South_Policeman_Point,372453,6005680
Stoney Well,ALS_Stoney_Well,365104,6017790
Stony Well,ALS_Stoney_Well,365104,6017790
Tauwitchere DS,ALS_Tauwitchere_DS,320219,6059690
Tauwitchere D/S,ALS_Tauwitchere_DS,320219,6059690
Tauwitchere U/S,ALS_Tauwitchere_US,320218,6059692
Tilley Swamp Drain U/S Morella,ALS_Tilley_Swamp_Drain_US_Morella,383294,5996921
Tillley Swamp Drain U/S Morella,ALS_Tilley_Swamp_Drain_US_Morella,383294,5996921
US Tauwitchere,ALS_US_Tauwitchere,320218,6059692
Villa de Yumpa,ALS_Villa_de_Yumpa,359175,6022894
EPA -  Tauwitchere,AWQC_EPA_Tauwitchere,320218,6059692
EPA - 1.8km West Salt Creek,AWQC_EPA_18km_West_Salt_Creek,375882,6000470
EPA - 12 South Salt Creek,AWQC_EPA_12_South_Salt_Creek,377597,6000430
EPA - 3.2km South Salt Creek,AWQC_EPA_32km_South_Salt_Creek,377570,5997290
EPA - Long Point,AWQC_EPA_Long_Point,333756,6048257
EPA - McGrath Flat North,AWQC_EPA_McGrath_Flat_North,354600,6029390
EPA - Morella Creek @ guage,AWQC_EPA_Morella_Creek_at_guage,380179,6001380
EPA - Nth Jack Point,AWQC_EPA_Nth_Jack_Point,369342,6010970
EPA - Parnka Point Boat Ramp,AWQC_EPA_Parnka_Point_Boat_Ramp,355237,6025730
EPA - Seagull Island,AWQC_EPA_Seagull_Island,372453,6005680
EPA - Snipe Point,AWQC_EPA_Snipe_Point,374406,6002900
EPA - Stoney Well,AWQC_EPA_Stoney_Well,365104,6017790
EPA - Villa de Yumpa,AWQC_EPA_Villa_de_Yumpa,359175,6022890
Tilley Swamp Drain D/S Northern Outlet,AWQC_Tilley_Swamp_Drain_DS_Northern_Outlet,386213,5996496
Tilley Swamp Drain U/S Morella,AWQC_Tilley_Swamp_Drain_US_Morella,383294,5996921
Tilley Swamp Watercourse Outlet Channel,AWQC_Tilley_Swamp_Watercourse_Outlet_Channel,385976,5996559
EPA -  Salt Creek Outlet,AWQC_Salt_Creek_Outlet,378834.7,6001351.5
EPA -  Tauwitchere Barrage Upstream,AWQC_EPA_Tauwitchere_Barrage_Upstream,320218,6059692
EPA -  Tauwitchere Barrage DS,AWQC_EPA_Tauwitchere_Barrage_DS,320219,6059690
EPA - Mark Point,AWQC_EPA_Sth_Policeman_Point,372453,6005680
EPA - Noonameena,AWQC_EPA_Noonameena,342849,6041481
DEW - Mundoo Downstream,AWQC_DEW_Mundoo_Downstream,0,0
DEW - Mundoo Barrage Downstream,AWQC_DEW_Mundoo_Downstream,0,0
DEW - Mundoo Upstream,AWQC_DEW_Mundoo_Upstream,0,0
DEW - Mundoo Barrage Upstream,AWQC_DEW_Mundoo_Upstream,0,0
EPA - Sth Policeman Point,AWQC_EPA_Mark_Point,325762,6054914
EPA - Morella Basin at Outlet Regulator,AWQC_EPA_Morella_Basin_at_Outlet_Regulator,380179,6001380
EPA - Murray Mouth,AWQC_EPA_Murray_Mouth,308015,6063155
EPA - Bonneys,AWQC_EPA_Bonneys,347969,6037304
