Old Name,Old Units,New Name,New Units,Conv
Alkalinity as Calcium Carbonate,mg/L,Acidity_CACO3,mg/L,1
Ammonia as N,µg/L,WQ_NIT_AMM,mmol/m^3,0.071428571
Bicarbonate,mg/L,Bicarbonate,mg/L,1
Carbonate,mg/L,Carbonate,mg/L,1
Chloride,mg/L,Chloride,mg/L,1
Chlorophyll a,µg/L,WQ_DIAG_PHY_TCHLA,ug/L,1
Conductivity,µS/cm,Conductivity,uS/cm,1
Dissolved Organic Carbon,mg/L,WQ_OGM_DOC,mmol/m^3,83.333333
Fixed Solids,mg/L,Fixed_solids,mg/L,1
Hydroxide,mg/L,Hydroxide,mg/L,1
Nitrate + Nitrite as N,µg/L,WQ_NIT_NIT,mmol/m^3,0.071428571
Nitrate + Nitrite as NO3,µg/L,WQ_NIT_NIT,mmol/m^3,0.016129032
Nitrate as Nitrogen,µg/L,WQ_NIT_NIT,mmol/m^3,0.071428571
Nitrite as N,µg/L,WQ_NIT_NIT,mmol/m^3,0.071428571
Nitrogen - Total,mg/L,WQ_DIAG_TOT_TN,mmol/m^3,71.42857143
Phaeophytin a,µg/L,Ignore,Ignore,1
Phosphorus - Total,mg/L,WQ_DIAG_TOT_TP,mmol/m^3,32.25806452
Phosphorus -Filterable Reactive as PO4,µg/L,,,
Phosphorus-Filterable Reactive as P,µg/L,WQ_PHS_FRP,mmol/m^3,0.032258065
Silica - Reactive,mg/L,WQ_SIL_RSI,mmol/m^3,35.58718861
Suspended Solids,mg/L,WQ_DIAG_TOT_TSS,mg/L,1
TKN as Nitrogen,mg/L,WQ_DIAG_TOT_TKN,mmol/m^3,71.42857143
Temperature at which pH is measured,°C,TEMP,degrees,1
Total Dissolved Solids (by EC),mg/L,WQ_DIAG_TOT_TSS,mg/L,1
Total Dissolved Solids (by evaporation),mg/L,WQ_DIAG_TOT_TSS,mg/L,1
Total Organic Carbon,mg/L,WQ_DIAG_TOT_TOC,mmol/m^3,83.333333
Turbidity,NTU,WQ_DIAG_TOT_TURBIDITY,NTU,1
Volatile Suspended Solids,mg/L,Ignore,Ignore,1
pH,pH units,pH,-,1
Algal Count,,Algae_Cells,/mL,1
Ammonia as N,mg/L,WQ_NIT_AMM,mmol/m^3,71.42857143
Chloride,mg/L,Chloride,mg/L,1
Chlorophyll a,mg/m³,WQ_DIAG_PHY_TCHLA,ug/L,1
Chlorophyll b,mg/m³,Chlorophyll_b,ug/L,1
Dissolved Organic Carbon,mg/L,WQ_OGM_DOC,mmol/m^3,83.333333
Nitrate as N,mg/L,WQ_NIT_NIT,mmol/m^3,71.42857143
Nitrite + Nitrate as N,mg/L,WQ_NIT_NIT,mmol/m^3,71.42857143
Nitrite as N,mg/L,WQ_NIT_NIT,mmol/m^3,71.42857143
Pheophytin a,mg/m³,Ignore,Ignore,1
Reactive Phosphorus as P,mg/L,WQ_PHS_FRP,mmol/m^3,32.25806452
Reactive Silica,mg/L,WQ_SIL_RSI,mmol/m^3,35.58718861
Total Dissolved Solids @180°C,mg/L,WQ_DIAG_TOT_TSS,mg/L,1
Total Nitrogen as N,mg/L,WQ_DIAG_TOT_TN,mmol/m^3,71.42857143
Total Organic Carbon,mg/L,WQ_DIAG_TOT_TOC,mmol/m^3,83.333333
Total Phosphorus as P,mg/L,WQ_DIAG_TOT_TP,mmol/m^3,32.25806452
Turbidity,NTU,WQ_DIAG_TOT_TURBIDITY,NTU,1
