Var,1,2,3,4,5,6,7,8,9,10,11,12,
SAL,24.6157,29.0157,36.2800,32.5266,26.3234,32.0204,0.0000,45.4715,64.2004,0.0000,93.1094,47.5510,
TEMP,21.6215,21.0521,20.6200,20.8640,21.3652,21.0391,0.0000,19.1450,20.2237,0.0000,20.9298,20.8299,
TRACE_1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_TRC_AGE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
WQ_NCS_SS1,15.1931,0.0000,10.6324,14.8462,12.7504,13.7908,0.0000,18.8788,21.8523,0.0000,20.8647,15.8942,
WQ_OXY_OXY,249.1116,159.9330,228.3750,206.9847,244.0391,221.9531,0.0000,193.5156,226.0156,0.0000,160.3125,158.5521,
WQ_SIL_RSI,68.2088,0.0000,26.7349,103.2028,152.9359,0.0000,0.0000,0.0000,128.5714,0.0000,0.0000,0.0000,
WQ_NIT_AMM,1.2024,Unknown,0.3571,1.5714,0.3929,0.0000,0.0000,0.0000,0.3571,0.0000,0.0000,0.0000,
WQ_NIT_NIT,0.2738,Unknown,0.2143,1.2500,0.2143,0.0000,0.0000,0.0000,0.2143,0.0000,0.0000,0.0000,
WQ_PHS_FRP,0.1828,Unknown,0.4355,0.4355,0.1452,0.0000,0.0000,0.0000,0.1613,0.0000,0.0000,0.0000,
WQ_PHS_FRP_ADS,0.0183,Unknown,0.0435,0.0435,0.0145,0.0000,0.0000,0.0000,0.0161,0.0000,0.0000,0.0000,
WQ_OGM_DOC,716.6667,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_POC,718.1171,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_OGM_DON,50.1797,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.2083,
WQ_OGM_PON,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,60.2083,
WQ_OGM_DOP,0.8724,Unknown,0.3677,0.9594,1.1192,0.0000,0.0000,0.0000,3.8888,0.0000,0.0000,0.0000,
WQ_OGM_POP,1.0905,Unknown,0.4596,1.1992,1.3990,0.0000,0.0000,0.0000,4.8610,0.0000,0.0000,0.0000,
WQ_PHY_GRN,0.0000,Unknown,24.2292,0.0000,92.9167,0.0000,0.0000,0.0000,112.6482,0.0000,0.0000,0.0000,
WQ_DIAG_TOT_TN,98.2143,Unknown,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
WQ_DIAG_TOT_TP,2.2043,Unknown,1.2581,2.7581,2.9355,0.0000,0.0000,0.0000,9.9677,0.0000,0.0000,0.0000,
